company_name,company_price_intraday,company_symbol,company_symbol_link
Apple Inc.,318.73,AAPL,https://finance.yahoo.com/quote/AAPL?p=AAPL
Microsoft Corporation,167.10,MSFT,https://finance.yahoo.com/quote/MSFT?p=MSFT
Taiwan Semiconductor Manufacturing Company Limited,58.58,TSM,https://finance.yahoo.com/quote/TSM?p=TSM
Intel Corporation,59.60,INTC,https://finance.yahoo.com/quote/INTC?p=INTC
"Cisco Systems, Inc.",49.02,CSCO,https://finance.yahoo.com/quote/CSCO?p=CSCO
Oracle Corporation,55.13,ORCL,https://finance.yahoo.com/quote/ORCL?p=ORCL
SAP SE,139.96,SAP,https://finance.yahoo.com/quote/SAP?p=SAP
Adobe Inc.,349.74,ADBE,https://finance.yahoo.com/quote/ADBE?p=ADBE
"salesforce.com, inc.",182.23,CRM,https://finance.yahoo.com/quote/CRM?p=CRM
NVIDIA Corporation,249.28,NVDA,https://finance.yahoo.com/quote/NVDA?p=NVDA
Accenture plc,209.20,ACN,https://finance.yahoo.com/quote/ACN?p=ACN
ASML Holding N.V.,300.04,ASML,https://finance.yahoo.com/quote/ASML?p=ASML
Texas Instruments Incorporated,131.70,TXN,https://finance.yahoo.com/quote/TXN?p=TXN
Broadcom Inc.,308.79,AVGO,https://finance.yahoo.com/quote/AVGO?p=AVGO
International Business Machines Corporation,138.31,IBM,https://finance.yahoo.com/quote/IBM?p=IBM
QUALCOMM Incorporated,95.91,QCOM,https://finance.yahoo.com/quote/QCOM?p=QCOM
"Fidelity National Information Services, Inc.",147.09,FIS,https://finance.yahoo.com/quote/FIS?p=FIS
Sony Corporation,72.48,SNE,https://finance.yahoo.com/quote/SNE?p=SNE
Intuit Inc.,282.85,INTU,https://finance.yahoo.com/quote/INTU?p=INTU
"Micron Technology, Inc.",57.66,MU,https://finance.yahoo.com/quote/MU?p=MU
"VMware, Inc.",151.36,VMW,https://finance.yahoo.com/quote/VMW?p=VMW
"Uber Technologies, Inc.",35.13,UBER,https://finance.yahoo.com/quote/UBER?p=UBER
"Advanced Micro Devices, Inc.",50.93,AMD,https://finance.yahoo.com/quote/AMD?p=AMD
"ServiceNow, Inc.",312.52,NOW,https://finance.yahoo.com/quote/NOW?p=NOW
"Applied Materials, Inc.",62.85,AMAT,https://finance.yahoo.com/quote/AMAT?p=AMAT
Shopify Inc.,454.88,SHOP,https://finance.yahoo.com/quote/SHOP?p=SHOP
Infosys Limited,10.88,INFY,https://finance.yahoo.com/quote/INFY?p=INFY
Lam Research Corporation,308.00,LRCX,https://finance.yahoo.com/quote/LRCX?p=LRCX
"Analog Devices, Inc.",119.47,ADI,https://finance.yahoo.com/quote/ADI?p=ADI
"Autodesk, Inc.",193.35,ADSK,https://finance.yahoo.com/quote/ADSK?p=ADSK
"Workday, Inc.",181.06,WDAY,https://finance.yahoo.com/quote/WDAY?p=WDAY
NXP Semiconductors N.V.,133.84,NXPI,https://finance.yahoo.com/quote/NXPI?p=NXPI
Dell Technologies Inc.,50.34,DELL,https://finance.yahoo.com/quote/DELL?p=DELL
Cognizant Technology Solutions Corporation,62.77,CTSH,https://finance.yahoo.com/quote/CTSH?p=CTSH
TE Connectivity Ltd.,100.18,TEL,https://finance.yahoo.com/quote/TEL?p=TEL
Amphenol Corporation,109.45,APH,https://finance.yahoo.com/quote/APH?p=APH
Atlassian Corporation Plc,132.85,TEAM,https://finance.yahoo.com/quote/TEAM?p=TEAM
HP Inc.,21.97,HPQ,https://finance.yahoo.com/quote/HPQ?p=HPQ
"Motorola Solutions, Inc.",176.12,MSI,https://finance.yahoo.com/quote/MSI?p=MSI
"Square, Inc.",69.38,SQ,https://finance.yahoo.com/quote/SQ?p=SQ
Telefonaktiebolaget LM Ericsson (publ),9.01,ERIC,https://finance.yahoo.com/quote/ERIC?p=ERIC
Canon Inc.,28.00,CAJ,https://finance.yahoo.com/quote/CAJ?p=CAJ
KLA Corporation,178.73,KLAC,https://finance.yahoo.com/quote/KLAC?p=KLAC
"FleetCor Technologies, Inc.",310.04,FLT,https://finance.yahoo.com/quote/FLT?p=FLT
Fortive Corporation,78.78,FTV,https://finance.yahoo.com/quote/FTV?p=FTV
Fortive Corporation,993.76,FTV-PA,https://finance.yahoo.com/quote/FTV-PA?p=FTV-PA
Microchip Technology Incorporated,109.41,MCHP,https://finance.yahoo.com/quote/MCHP?p=MCHP
"Xilinx, Inc.",102.89,XLNX,https://finance.yahoo.com/quote/XLNX?p=XLNX
"VeriSign, Inc.",214.00,VRSN,https://finance.yahoo.com/quote/VRSN?p=VRSN
STMicroelectronics N.V.,27.89,STM,https://finance.yahoo.com/quote/STM?p=STM
Splunk Inc.,157.96,SPLK,https://finance.yahoo.com/quote/SPLK?p=SPLK
