company_name,company_price_interaday
Apple Inc.,>100
Microsoft Corporation,>100
Taiwan Semiconductor Manufacturing Company Limited,<50
Intel Corporation,<50
"Cisco Systems, Inc.",<50
Oracle Corporation,<50
SAP SE,>100
Adobe Inc.,>100
"salesforce.com, inc.",>100
NVIDIA Corporation,>100
Accenture plc,>100
ASML Holding N.V.,>100
Texas Instruments Incorporated,>100
Broadcom Inc.,>100
International Business Machines Corporation,>100
QUALCOMM Incorporated,<50
"Fidelity National Information Services, Inc.",>100
Sony Corporation,<50
Intuit Inc.,>100
"Micron Technology, Inc.",<50
"VMware, Inc.",>100
"Uber Technologies, Inc.",<50
"Advanced Micro Devices, Inc.",<50
"ServiceNow, Inc.",>100
"Applied Materials, Inc.",<50
Shopify Inc.,>100
Infosys Limited,<50
Lam Research Corporation,>100
"Analog Devices, Inc.",>100
"Autodesk, Inc.",>100
"Workday, Inc.",>100
NXP Semiconductors N.V.,>100
Dell Technologies Inc.,<50
Cognizant Technology Solutions Corporation,<50
TE Connectivity Ltd.,>100
Amphenol Corporation,>100
Atlassian Corporation Plc,>100
HP Inc.,<50
"Motorola Solutions, Inc.",>100
"Square, Inc.",<50
Telefonaktiebolaget LM Ericsson (publ),<50
Canon Inc.,<50
KLA Corporation,>100
"FleetCor Technologies, Inc.",>100
Fortive Corporation,<50
Fortive Corporation,>100
Microchip Technology Incorporated,>100
"Xilinx, Inc.",>100
"VeriSign, Inc.",>100
STMicroelectronics N.V.,<50
Splunk Inc.,>100
"Palo Alto Networks, Inc.",>100
CGI Inc.,<50
Corning Incorporated,<50
"ANSYS, Inc.",>100
"Synopsys, Inc.",>100
"Skyworks Solutions, Inc.",>100
"Cadence Design Systems, Inc.",<50
Western Digital Corporation,<50
"Fortinet, Inc.",>100
"Keysight Technologies, Inc.",>100
CDW Corporation,>100
Hewlett Packard Enterprise Company,<50
Marvell Technology Group Ltd.,<50
Garmin Ltd.,<50
Check Point Software Technologies Ltd.,>100
NortonLifeLock Inc.,<50
"Paycom Software, Inc.",>100
"Arista Networks, Inc.",>100
"RingCentral, Inc.",>100
"Maxim Integrated Products, Inc.",<50
Seagate Technology plc,<50
"SS&C Technologies Holdings, Inc.",<50
"Akamai Technologies, Inc.",<50
"Citrix Systems, Inc.",>100
"Okta, Inc.",>100
"Broadridge Financial Solutions, Inc.",>100
"Leidos Holdings, Inc.",>100
"Gartner, Inc.",>100
"NetApp, Inc.",<50
"Lyft, Inc.",<50
Teledyne Technologies Incorporated,>100
Zebra Technologies Corporation,>100
"Qorvo, Inc.",>100
"CrowdStrike Holdings, Inc.",<50
"DocuSign, Inc.",<50
"EPAM Systems, Inc.",>100
Open Text Corporation,<50
GoDaddy Inc.,<50
"Slack Technologies, Inc.",<50
"Datadog, Inc.",<50
"Tyler Technologies, Inc.",>100
PagSeguro Digital Ltd.,<50
"Teradyne, Inc.",<50
Fair Isaac Corporation,>100
StoneCo Ltd.,<50
"Jack Henry & Associates, Inc.",>100
"ASE Technology Holding Co., Ltd.",<50
Ubiquiti Inc.,>100
Trimble Inc.,<50
